VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,2,01/01/2020 00:54:28,01/01/2020 00:58:41,1,0.6,1,N,170,137,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 00:57:13,01/01/2020 00:58:05,1,0.11,1,N,260,260,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01/01/2020 00:36:31,01/01/2020 00:37:23,3,0.18,1,N,141,141,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 00:23:15,01/01/2020 00:23:54,2,0.09,1,N,114,114,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 00:13:39,01/01/2020 00:24:26,2,1.26,1,N,249,90,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2020 00:18:16,01/01/2020 00:18:42,1,0.03,1,N,164,164,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 04:44:29,01/01/2020 04:44:36,4,0,5,N,265,265,2,70,0,0,0,0,0.3,70.3,0
2,01/01/2020 00:44:29,01/01/2020 00:47:34,2,0.39,1,N,79,79,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 00:42:44,01/01/2020 00:44:24,1,0.04,1,N,48,48,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 00:21:30,01/01/2020 00:29:12,2,0.78,1,N,114,113,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 00:21:10,01/01/2020 00:22:39,1,0.33,1,N,146,146,2,0,0,0,0,0,0,0,0
2,01/01/2020 00:13:40,01/01/2020 00:31:14,2,2.41,1,N,246,249,2,13,0.5,0.5,0,0,0.3,16.8,2.5
2,01/01/2020 00:21:37,01/01/2020 00:27:07,3,0.72,1,N,68,113,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 00:34:49,01/01/2020 00:57:39,2,2.93,1,N,142,164,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5
2,01/01/2020 00:48:57,01/01/2020 00:52:37,1,0.2,1,N,141,141,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 00:38:08,01/01/2020 00:39:21,1,0.09,1,N,237,237,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 00:26:07,01/01/2020 00:31:29,1,0.91,1,N,234,114,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 00:49:08,01/01/2020 00:52:54,1,0.02,1,N,164,164,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 00:44:31,01/01/2020 00:45:05,1,0.06,1,N,68,90,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 00:46:56,01/01/2020 00:59:16,1,2.33,1,N,87,249,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,01/01/2020 00:18:30,01/01/2020 00:21:27,1,0.25,1,N,107,164,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,12/31/2019 23:26:25,12/31/2019 23:27:57,2,0.17,1,N,162,163,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 00:30:31,01/01/2020 00:30:46,1,0.01,1,N,239,239,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 00:18:58,01/01/2020 00:30:53,2,0.81,1,N,107,234,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2020 00:58:01,01/01/2020 01:02:39,1,0.64,1,N,170,233,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 00:10:44,01/01/2020 00:18:38,1,2.32,1,N,140,74,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01/01/2020 00:10:30,01/01/2020 00:24:14,1,6.96,1,N,229,196,2,20,0.5,0.5,0,0,0.3,23.8,2.5
2,01/01/2020 00:28:04,01/01/2020 00:34:33,1,0.81,1,N,79,113,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 00:40:30,01/01/2020 00:45:02,2,0.8,1,N,42,41,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,01/01/2020 00:08:13,01/01/2020 00:08:27,5,0,1,N,48,48,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 00:26:04,01/01/2020 00:27:18,1,0,1,N,234,234,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 00:55:09,01/01/2020 00:59:11,1,0.65,1,N,148,144,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,01/01/2020 00:01:42,01/01/2020 00:05:13,1,0.66,1,N,236,140,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 00:48:19,01/01/2020 01:01:58,1,1.08,1,N,43,162,1,9,0.5,0.5,3.2,0,0.3,16,2.5
1,01/01/2020 00:35:41,01/01/2020 00:46:53,1,1.2,1,N,249,79,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
2,01/01/2020 00:50:28,01/01/2020 00:50:34,2,0,2,N,79,79,2,52,0,0.5,0,0,0.3,55.3,2.5
2,01/01/2020 00:17:45,01/01/2020 00:20:55,1,0.03,1,N,186,186,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 00:30:14,01/01/2020 00:35:15,1,0.72,1,N,141,140,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 00:14:15,01/01/2020 00:26:39,1,2.25,1,N,231,107,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
2,01/01/2020 01:00:29,01/01/2020 01:03:50,1,0.55,1,N,246,246,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 00:06:51,01/01/2020 00:21:09,1,3.93,1,N,148,141,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,01/01/2020 00:40:30,01/01/2020 00:58:36,1,0.78,1,N,161,164,2,11,0.5,0.5,0,0,0.3,14.8,2.5
2,01/01/2020 00:16:32,01/01/2020 00:28:26,1,1.26,1,N,249,79,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2020 00:04:53,01/01/2020 00:26:25,1,11.35,1,N,107,14,2,32.5,0.5,0.5,0,0,0.3,36.3,2.5
2,01/01/2020 00:28:41,01/01/2020 00:34:01,1,0.88,1,N,7,7,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,01/01/2020 00:18:21,01/01/2020 00:18:59,1,0.16,1,N,148,148,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 00:14:34,01/01/2020 00:15:49,1,0.08,1,N,161,161,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 00:24:37,01/01/2020 00:31:19,1,1.26,1,N,79,45,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 00:41:11,01/01/2020 00:48:14,1,0.3,1,N,48,48,2,-6,-0.5,-0.5,0,0,-0.3,-9.8,-2.5
2,01/01/2020 00:41:11,01/01/2020 00:48:14,1,0.3,1,N,48,48,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 00:00:46,01/01/2020 00:19:33,1,4,1,N,161,263,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,01/01/2020 00:34:05,01/01/2020 00:51:26,1,9,1,N,161,138,1,26,0.5,0.5,7.18,6.12,0.3,43.1,2.5
2,01/01/2020 00:17:43,01/01/2020 00:21:58,3,0.68,1,N,158,125,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 00:15:23,01/01/2020 00:18:06,1,0.4,1,N,234,234,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 00:45:27,01/01/2020 00:52:00,1,0.6,1,N,233,162,2,6,0.5,0.5,0,0,0.3,9.8,2.5
1,01/01/2020 00:59:37,01/01/2020 01:05:42,1,1.1,1,N,79,4,1,6,3,0.5,1.96,0,0.3,11.76,2.5
2,01/01/2020 01:50:04,01/01/2020 01:53:55,1,0.09,1,N,233,233,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 00:44:55,01/01/2020 00:51:10,2,1.85,1,N,48,238,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,01/01/2020 01:53:34,01/01/2020 01:54:17,4,0,5,N,129,129,2,0,0,0,0,0,0.3,0.3,0
2,01/01/2020 01:09:09,01/01/2020 01:15:19,1,0.52,1,N,263,262,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 01:08:41,01/01/2020 01:08:47,1,0,2,N,140,140,2,52,0,0.5,0,0,0.3,55.3,2.5
2,01/01/2020 00:59:08,01/01/2020 01:00:41,6,0.16,1,N,137,137,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:48:39,01/01/2020 01:49:33,1,0,1,N,107,107,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 01:41:49,01/01/2020 01:43:56,3,0.12,1,N,229,229,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:04:30,01/01/2020 01:08:36,1,0.99,1,N,140,229,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 01:10:41,01/01/2020 01:16:31,1,0.65,1,N,229,162,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 01:53:18,01/01/2020 01:54:23,1,0.15,1,N,162,170,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:50:19,01/01/2020 02:01:27,1,2.63,1,N,49,61,2,10.5,0.5,0.5,0,0,0.3,11.8,0
2,01/01/2020 01:16:49,01/01/2020 01:39:30,1,5.37,1,N,141,119,2,19,0.5,0.5,0,0,0.3,22.8,2.5
2,01/01/2020 01:18:56,01/01/2020 01:20:47,1,0.42,1,N,125,231,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:08:14,01/01/2020 01:10:14,2,0.24,1,N,42,42,1,3.5,0.5,0.5,0.8,0,0.3,5.6,0
2,01/01/2020 01:35:35,01/01/2020 01:44:55,2,1.49,1,N,158,211,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5
2,01/01/2020 01:26:20,01/01/2020 01:46:16,1,5.78,1,N,141,144,2,20,0.5,0.5,0,0,0.3,23.8,2.5
2,01/01/2020 01:50:41,01/01/2020 02:34:05,4,16.38,1,N,68,259,2,50,0.5,0.5,0,0,0.3,53.8,2.5
2,01/01/2020 01:52:47,01/01/2020 02:17:25,1,10.85,1,N,236,18,2,31.5,0.5,0.5,0,0,0.3,35.3,2.5
2,01/01/2020 01:07:04,01/01/2020 01:24:01,1,2.48,1,N,263,143,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5
2,01/01/2020 01:01:54,01/01/2020 01:10:17,2,1.86,1,N,229,236,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,01/01/2020 00:55:08,01/01/2020 00:56:11,1,0,1,N,107,107,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:42:35,01/01/2020 01:44:33,3,0.75,1,N,263,236,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 01:41:32,01/01/2020 01:43:05,1,0.11,1,N,142,143,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:40:36,01/01/2020 01:42:14,1,0.52,1,N,237,236,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:41:28,01/01/2020 02:12:02,1,9.57,1,N,88,146,2,31,0.5,0.5,0,0,0.3,34.8,2.5
2,01/01/2020 01:53:01,01/01/2020 01:54:42,3,0.15,1,N,164,164,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 01:35:06,01/01/2020 01:40:59,1,0.96,1,N,13,88,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 01:59:01,01/01/2020 02:00:53,1,0,5,N,233,233,2,90,0,0.5,0,0,0.3,90.8,0
1,01/01/2020 01:30:10,01/01/2020 01:37:37,2,1.1,1,N,181,181,1,7,0.5,0.5,2.05,0,0.3,10.35,0
2,01/01/2020 01:56:28,01/01/2020 02:01:32,1,0.87,1,N,113,114,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2020 01:13:50,01/01/2020 01:14:59,1,0.35,1,N,132,132,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,01/01/2020 01:47:22,01/01/2020 01:49:50,1,0.18,1,N,161,230,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:58:07,01/01/2020 02:01:48,2,0.71,1,N,79,137,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 01:08:15,01/01/2020 01:15:04,2,1.34,1,N,186,158,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,01/01/2020 01:08:11,01/01/2020 01:09:04,1,0,1,N,229,229,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,01/01/2020 01:42:54,01/01/2020 01:56:40,1,2.2,1,N,162,48,1,11,3,0.5,2.95,0,0.3,17.75,2.5
2,01/01/2020 01:17:27,01/01/2020 01:27:36,2,1.65,1,N,107,100,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01/01/2020 01:58:44,01/01/2020 02:02:23,1,0.7,1,N,170,107,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 01:58:44,01/01/2020 01:59:50,1,0.02,1,N,261,261,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 01:05:05,01/01/2020 01:11:14,1,0.94,1,N,246,100,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 01:00:07,01/01/2020 01:21:36,1,3.32,1,N,164,231,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
1,01/01/2020 01:33:10,01/01/2020 02:06:57,1,5.9,1,N,161,226,2,25,3,0.5,0,0,0.3,28.8,2.5
2,01/01/2020 01:26:05,01/01/2020 01:31:33,1,0.97,1,N,68,234,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 01:34:22,01/02/2020 00:34:56,1,0.77,1,N,263,141,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,01/01/2020 01:05:34,01/01/2020 01:05:58,1,0,1,N,61,61,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01/01/2020 01:02:45,01/01/2020 01:12:55,1,0.51,1,N,48,48,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,01/01/2020 01:11:25,01/01/2020 01:12:02,1,0.02,1,N,164,164,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 01:33:25,01/01/2020 01:35:28,1,0.17,1,N,79,79,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
2,01/01/2020 01:33:07,01/01/2020 01:34:11,1,0,1,N,4,4,2,3,0.5,0.5,0,0,0.3,6.8,2.5
2,01/01/2020 02:14:34,01/01/2020 02:14:58,2,0.06,1,N,161,161,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
2,01/01/2020 02:16:26,01/01/2020 02:22:04,1,0.71,3,N,161,100,2,23,0.5,0,0,0,0.3,23.8,0
2,01/01/2020 02:59:50,01/01/2020 03:00:22,5,0.05,1,N,107,107,2,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,01/01/2020 02:05:37,01/01/2020 02:19:43,1,1.9,1,N,224,68,1,10.5,3,0.5,2,0,0.3,16.3,2.5
2,01/01/2020 00:22:33,01/01/2020 00:28:55,2,1.2,1,N,263,43,1,6.5,0.5,0.5,2,0,0.3,12.3,2.5
